Pressure (MPa),Temperature (°C),Specific volume v (m³/kg),Internal energy u (kJ/kg),Enthalpy h (kJ/kg),Entropy s (kJ/kg·K)
P,T,v,u,h,s
0.01,45.81,14.674,2437.9,2584.7,8.1502
0.01,50,14.869,2443.9,2592.6,8.1749
0.01,100,17.196,2515.5,2687.5,8.4479
0.01,150,19.512,2587.9,2783,8.6882
0.01,200,21.825,2661.3,2879.5,8.9038
0.01,250,24.136,2736,2977.3,9.1002
0.01,300,26.445,2812.1,3076.5,9.2813
0.01,400,31.063,2968.9,3279.6,9.6077
0.01,500,35.679,3132.3,3489.1,9.8978
0.01,600,40.295,3302.5,3705.4,10.1608
0.01,700,44.911,3479.6,3928.7,10.4028
0.01,800,49.526,3663.8,4159,10.6281
0.01,900,54.141,3855,4396.4,10.8396
0.01,1000,58.757,4053,4640.6,11.0393
0.01,1100,63.372,4257.5,4891.2,11.2287
0.01,1200,67.987,4467.9,5147.8,11.4091
0.01,1300,72.602,4683.7,5409.7,11.5811
0.05,81.33,3.24,2483.9,2645.9,7.5939
0.05,50,,,,
0.05,100,3.418,2511.6,2682.5,7.6947
0.05,150,3.889,2585.6,2780.1,7.9401
0.05,200,4.356,2659.9,2877.7,8.158
0.05,250,4.82,2735,2976,8.3556
0.05,300,5.284,2811.3,3075.5,8.5373
0.05,400,6.209,2968.5,3278.9,8.8642
0.05,500,7.134,3132,3488.7,9.1546
0.05,600,8.057,3302.2,3705.1,9.4178
0.05,700,8.981,3479.4,3928.5,9.6599
0.05,800,9.904,3663.6,4158.9,9.8852
0.05,900,10.828,3854.9,4396.3,10.0967
0.05,1000,11.751,4052.9,4640.5,10.2964
0.05,1100,12.674,4257.4,4891.1,10.4859
0.05,1200,13.597,4467.8,5147.7,10.6662
0.05,1300,14.521,4683.6,5409.6,10.8382
0.1,99.63,1.694,2506.1,2675.5,7.3594
0.1,50,,,,
0.1,100,1.6958,2506.7,2676.2,7.3614
0.1,150,1.9364,2582.8,2776.4,7.6143
0.1,200,2.172,2658.1,2875.3,7.8343
0.1,250,2.406,2733.7,2974.3,8.0333
0.1,300,2.639,2810.4,3074.3,8.2158
0.1,400,3.103,2967.9,3278.2,8.5435
0.1,500,3.565,3131.6,3488.1,8.8342
0.1,600,4.028,3301.9,3704.4,9.0976
0.1,700,4.49,3479.2,3928.2,9.3398
0.1,800,4.952,3663.5,4158.6,9.5652
0.1,900,5.414,3854.8,4396.1,9.7767
0.1,1000,5.875,4052.8,4640.3,9.9764
0.1,1100,6.337,4257.3,4891,10.1659
0.1,1200,6.799,4467.7,5147.6,10.3463
0.1,1300,7.26,4683.5,5409.5,10.5183
0.2,120.23,0.8857,2529.5,2706.7,7.1272
0.2,150,0.9596,2576.9,2768.8,7.2795
0.2,200,1.0803,2654.4,2870.5,7.5066
0.2,250,1.1988,2731.2,2971,7.7086
0.2,300,1.3162,2808.6,3071.8,7.8926
0.2,400,1.5493,2966.7,3276.6,8.2218
0.2,500,1.7814,3130.8,3487.1,8.5133
0.2,600,2.013,3301.4,3704,8.777
0.2,700,2.244,3478.8,3927.6,9.0194
0.2,800,2.475,3663.1,4158.2,9.2449
0.2,900,2.705,3854.5,4395.8,9.4566
0.2,1000,2.937,4052.5,4640,9.6563
0.2,1100,3.168,4257,4890.7,9.8458
0.2,1200,3.399,4467.5,5147.5,10.0262
0.2,1300,3.63,4683.2,5409.3,10.1982
0.3,133.35,0.6058,2543.6,2725.3,6.9919
0.3,150,0.6339,2570.8,2761,7.0778
0.3,200,0.7163,2650.7,2865.6,7.3115
0.3,250,0.7964,2728.7,2967.6,7.5166
0.3,300,0.8753,2806.7,3069.3,7.7022
0.3,400,1.0315,2965.6,3275,8.033
0.3,500,1.1867,3130,3486,8.3251
0.3,600,1.3414,3300.8,3703.2,8.5892
0.3,700,1.4957,3478.4,3927.1,8.8319
0.3,800,1.6499,3662.9,4157.8,9.0576
0.3,900,1.8041,3854.2,4395.4,9.2692
0.3,1000,1.9581,4052.3,4639.7,9.469
0.3,1100,2.1121,4256.8,4890.4,9.6585
0.3,1200,2.2661,4467.2,5147.1,9.8389
0.3,1300,2.4201,4683,5409,10.011
0.4,143.63,0.4625,2553.6,2738.6,6.8959
0.4,150,0.4708,2564.5,2752.8,6.9299
0.4,200,0.5342,2646.8,2860.5,7.1706
0.4,250,0.5951,2726.1,2964.2,7.3789
0.4,300,0.6548,2804.8,3066.8,7.5662
0.4,400,0.7726,2964.4,3273.4,7.8985
0.4,500,0.8893,3129.2,3484.9,8.1913
0.4,600,1.0055,3300.2,3702.4,8.4558
0.4,700,1.1215,3477.9,3926.5,8.6987
0.4,800,1.2372,3662.4,4157.3,8.9244
0.4,900,1.3529,3853.9,4395.1,9.1362
0.4,1000,1.4685,4052,4639.4,9.336
0.4,1100,1.584,4256.5,4890.2,9.5256
0.4,1200,1.6996,4467,5146.8,9.706
0.4,1300,1.8151,4682.8,5408.8,9.878
0.5,151.86,0.3749,2561.2,2748.7,6.8213
0.5,200,0.4249,2642.9,2855.4,7.0592
0.5,250,0.4744,2723.5,2960.7,7.2709
0.5,300,0.5226,2802.9,3064.2,7.4599
0.5,350,0.5701,2882.6,3167.7,7.6329
0.5,400,0.6173,2963.2,3271.9,7.7938
0.5,500,0.7109,3128.4,3483.9,8.0873
