Temperature (°C),Pressure (MPa),Specific volume vf (m³/kg),Specific volume vg (m³/kg),Internal energy uf (kJ/kg),Internal energy ug (kJ/kg),Enthalpy hf (kJ/kg),Enthalpy hg (kJ/kg),Entropy sf (kJ/kg·K),Entropy sg (kJ/kg·K)
Tsat,P,vf,vg,uf,ug,hf,hg,sf,sg
0.01,0.0006113,0.001000,206.14,0.00,2375.3,0.00,2501.4,0.0000,9.1562
5,0.0008721,0.001000,147.12,20.97,2382.3,20.98,2510.6,0.0761,9.0257
10,0.0012276,0.001000,106.38,42.00,2389.2,42.01,2519.8,0.1510,8.9008
15,0.0017051,0.001001,77.93,62.99,2396.1,62.99,2528.9,0.2245,8.7814
20,0.002339,0.001002,57.79,83.95,2402.9,83.96,2538.1,0.2966,8.6672
25,0.003169,0.001003,43.36,104.88,2409.8,104.89,2547.2,0.3674,8.5580
30,0.004246,0.001004,32.89,125.78,2416.6,125.79,2556.3,0.4369,8.4533
35,0.005628,0.001006,25.22,146.67,2423.4,146.68,2565.3,0.5053,8.3531
40,0.007384,0.001008,19.52,167.56,2430.1,167.57,2574.3,0.5725,8.2570
45,0.009593,0.001010,15.26,188.44,2436.8,188.45,2583.2,0.6387,8.1648
50,0.012349,0.001012,12.03,209.32,2443.5,209.33,2592.1,0.7038,8.0763
55,0.015758,0.001015,9.568,230.21,2450.1,230.23,2600.9,0.7679,7.9913
60,0.019940,0.001017,7.671,251.11,2456.6,251.13,2609.6,0.8312,7.9096
65,0.02503,0.001020,6.197,272.02,2463.1,272.06,2618.3,0.8935,7.8310
70,0.03119,0.001023,5.042,292.95,2469.6,292.98,2626.8,0.9549,7.7553
75,0.03858,0.001026,4.131,313.90,2475.9,313.93,2643.7,1.0155,7.6824
80,0.04739,0.001029,3.407,334.86,2482.2,334.91,2635.3,1.0753,7.6122
85,0.05783,0.001033,2.828,355.84,2488.4,355.90,2651.9,1.1343,7.5445
90,0.07014,0.001036,2.361,376.85,2494.5,376.92,2660.1,1.1925,7.4791
95,0.08455,0.001040,1.982,397.88,2500.6,397.96,2668.1,1.2500,7.4159
100,0.10135,0.001044,1.6729,418.94,2506.5,419.04,2676.1,1.3069,7.3549
105,0.12082,0.001048,1.4194,440.02,2512.4,440.15,2683.8,1.3630,7.2958
